reframed_text	strategy
I'm thankful for everything this city gave me! So many memories!	thankfulness
I don’t like it when people try to guilt -trip you to something even after you told no to them. Hope people change for the better.	neutralizing
I don’t like it when people try to guilt -trip you to something even after you told no to them. Hope people change for the better.	optimism
I don’t like it when people try to guilt -trip you to something even after you told no to them. Hope people change for the better.	self_affirmation
I'm glad networking with gaming comes very easily for me.	optimism
I'm glad networking with gaming comes very easily for me.	thankfulness
Children with autism tend to demonstrate stereotypic behavior or repetitive behaviors when they are excited or bored.	neutralizing
I have less than 2 hours to get home and make mashed potatoes from scratch, once I make them I'll be so relieved.	impermanence
I'm going to take some time to take care of myself for a while, so don't worry if you don't see me.	growth
I'm going to take some time to take care of myself for a while, so don't worry if you don't see me.	neutralizing
Like I know what I want, but I know it won't just happen. You have to work for your dreams.	growth
Drinking is a great way to cheer oneself. So that's on the cards tonight:)	neutralizing
The week will be over soon. I will make it through.	impermanence
Because I spent a long time studying it means I will be a better person and more knowledgeable.	growth
I haven't liked anybodys posts in the past 24 hours, I think I need to be more encouraging.	growth
I've been binge-watching Luther over the past few days, and I love it, but I can't understand why the police aren't called.	neutralizing
I should plan ahead next time so that my basketball game does not conflict too closely with my projects.	growth
Finally, off work, now I can relax and prepare myself for tomorrow!	growth
Finally, off work, now I can relax and prepare myself for tomorrow!	impermanence
I am sick and tired but I know I have it in me to make it through today.	neutralizing
I am sick and tired but I know I have it in me to make it through today.	optimism
I am sick and tired but I know I have it in me to make it through today.	self_affirmation
This day will be better the later it goes on, and I will feel good.	optimism
I went from weighting 120 pounds to 96 pounds which can be good since I will have lower cholesterol.	neutralizing
I know I can handle what this week has in store for me, no matter how it starts off!	optimism
I know I can handle what this week has in store for me, no matter how it starts off!	self_affirmation
too interested in different things to know exactly what I want to do with my life #jackofalltrades	self_affirmation
This was not the way I wanted my morning to start. I just wanted a good day, but I'm sure tomorrow will be better.	optimism
It’s hard to sample all our heme manually with a slow sysmex but I know we can do it!.	neutralizing
It’s hard to sample all our heme manually with a slow sysmex but I know we can do it!.	optimism
The tastes of others and mine do not agree, but that is the beauty of diversity in opinions.	optimism
The tastes of others and mine do not agree, but that is the beauty of diversity in opinions.	thankfulness
I'm sure I will sleep better tomorrow night.	optimism
I'm not sleeping that much lately as I have a lot of things to do before classes on Monday but I understand it's just a period and that period has its good part.	optimism
Only an hour left, and I'm done with my last paper of senior year!	growth
Only an hour left, and I'm done with my last paper of senior year!	neutralizing
Only an hour left, and I'm done with my last paper of senior year!	optimism
It took me 1.5 hrs to get a place in gloucester, but thankfully im finally here.	neutralizing
It took me 1.5 hrs to get a place in gloucester, but thankfully im finally here.	thankfulness
I will never fail. I will be amazing!	growth
I will never fail. I will be amazing!	neutralizing
Next time I will be more prepared for long presentations and avoid failing them.	growth
I am going to get a new phone which is good.	growth
I hope I do well in my exams that are scheduled for the next few weeks.	growth
